ベンダ,"GRAPHTEC Corporation"
モデル,"GL260"
バージョン,"Ver1.03  "
最大CH数,10
WL開始CH,10
演算開始CH,10
最大ロジックCH数,4
最大演算CH数,10
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,802       
トリガ点,0         
開始時刻,2025-04-15,15:24:56
終了時刻,2025-04-15,15:38:17
トリガ時刻,2025-04-15,15:24:56
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+600.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+600.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+600.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+600.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+600.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+600.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+600.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+600.0,+0.0,[degC],28,0,17,0
CH9," CH 9","M",TEMP,TC_K,2000degC,Off,+600.0,+0.0,[degC],17,11,7,0
CH10," CH10","M",TEMP,TC_K,2000degC,Off,+600.0,+0.0,[degC],19,27,0,0
演算設定
CH,左項,演算子,右項,スケーリング,スパン,,単位
演算拡張設定
CH,信号名,係数A,左項,演算子,係数B,右項,オフセットC,スケーリング,スパン,,単位,線色,,,線幅
測定値
番号,日付/時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
NO.,Time,ms,"degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","A1234567890","AO1234"
         1,2025/04/15 15:24:56,  0, +330.4, +322.7, +300.8, +309.7, +296.7, +281.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         2,2025/04/15 15:24:57,  0, +330.6, +322.9, +301.1, +309.9, +296.9, +282.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         3,2025/04/15 15:24:58,  0, +330.7, +323.0, +301.1, +310.0, +297.0, +282.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         4,2025/04/15 15:24:59,  0, +330.7, +323.1, +301.2, +310.0, +297.2, +282.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         5,2025/04/15 15:25:00,  0, +330.8, +323.2, +301.4, +310.2, +297.3, +282.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         6,2025/04/15 15:25:01,  0, +330.9, +323.3, +301.5, +310.3, +297.4, +282.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         7,2025/04/15 15:25:02,  0, +330.9, +323.3, +301.5, +310.3, +297.5, +282.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         8,2025/04/15 15:25:03,  0, +330.9, +323.5, +301.5, +310.3, +297.6, +282.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         9,2025/04/15 15:25:04,  0, +331.0, +323.6, +301.7, +310.5, +297.7, +283.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        10,2025/04/15 15:25:05,  0, +331.0, +323.6, +301.8, +310.6, +297.8, +283.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        11,2025/04/15 15:25:06,  0, +331.0, +323.7, +301.8, +310.6, +297.9, +283.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        12,2025/04/15 15:25:07,  0, +331.0, +323.8, +301.9, +310.7, +298.0, +283.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        13,2025/04/15 15:25:08,  0, +331.0, +323.8, +302.0, +310.7, +298.1, +283.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        14,2025/04/15 15:25:09,  0, +331.1, +323.9, +302.0, +310.7, +298.1, +283.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        15,2025/04/15 15:25:10,  0, +331.1, +323.9, +302.1, +310.8, +298.2, +283.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        16,2025/04/15 15:25:11,  0, +331.1, +324.1, +302.1, +310.9, +298.2, +283.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        17,2025/04/15 15:25:12,  0, +331.1, +324.1, +302.2, +310.9, +298.4, +283.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        18,2025/04/15 15:25:13,  0, +331.2, +324.1, +302.3, +311.0, +298.4, +283.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        19,2025/04/15 15:25:14,  0, +331.2, +324.1, +302.3, +311.1, +298.4, +284.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        20,2025/04/15 15:25:15,  0, +331.1, +324.1, +302.4, +311.1, +298.5, +284.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        21,2025/04/15 15:25:16,  0, +331.2, +324.2, +302.5, +311.2, +298.6, +284.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        22,2025/04/15 15:25:17,  0, +331.2, +324.3, +302.5, +311.2, +298.7, +284.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        23,2025/04/15 15:25:18,  0, +331.2, +324.4, +302.6, +311.3, +298.7, +284.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        24,2025/04/15 15:25:19,  0, +331.2, +324.3, +302.6, +311.4, +298.8, +284.7,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        25,2025/04/15 15:25:20,  0, +331.2, +324.4, +302.7, +311.4, +298.8, +284.7,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        26,2025/04/15 15:25:21,  0, +331.0, +324.4, +302.7, +311.4, +298.8, +284.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        27,2025/04/15 15:25:22,  0, +331.1, +324.4, +302.7, +311.4, +298.9, +284.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        28,2025/04/15 15:25:23,  0, +331.0, +324.4, +302.8, +311.4, +299.0, +285.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        29,2025/04/15 15:25:24,  0, +331.0, +324.4, +302.7, +311.5, +299.0, +285.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        30,2025/04/15 15:25:25,  0, +331.0, +324.5, +302.7, +311.7, +299.1, +285.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        31,2025/04/15 15:25:26,  0, +331.0, +324.5, +302.7, +311.7, +299.1, +285.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        32,2025/04/15 15:25:27,  0, +331.0, +324.5, +302.8, +311.5, +299.1, +285.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        33,2025/04/15 15:25:28,  0, +330.9, +324.5, +302.9, +311.6, +299.2, +285.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        34,2025/04/15 15:25:29,  0, +330.9, +324.5, +303.0, +311.6, +299.3, +285.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        35,2025/04/15 15:25:30,  0, +330.9, +324.5, +303.1, +311.7, +299.3, +285.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        36,2025/04/15 15:25:31,  0, +330.9, +324.5, +303.1, +311.7, +299.4, +285.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        37,2025/04/15 15:25:32,  0, +330.8, +324.6, +303.1, +311.7, +299.4, +286.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        38,2025/04/15 15:25:33,  0, +330.8, +324.5, +303.2, +311.8, +299.4, +286.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        39,2025/04/15 15:25:34,  0, +330.7, +324.5, +303.2, +311.8, +299.4, +285.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
