Time,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11
0,25.0,25.0,24.9,25.0,25.0,25.1,345.0,342.4,316.1,362.3,347.3
1,25.0,24.9,24.9,25.0,25.0,25.1,344.9,342.4,316.8,362.2,347.3
2,25.0,25.0,24.9,25.0,25.1,25.1,344.9,342.4,317.3,362.2,347.3
3,25.0,25.0,24.9,25.0,25.0,25.2,344.8,342.4,317.9,362.2,347.4
4,25.0,25.0,24.9,25.0,25.0,25.1,344.8,342.4,318.5,362.1,347.3
5,25.0,25.0,24.9,25.0,25.0,25.1,344.7,342.4,319.0,362.1,347.3
6,25.0,25.0,25.0,25.0,25.0,25.1,344.6,342.4,319.5,362.0,347.3
7,25.0,25.0,24.9,25.0,25.0,25.1,344.6,342.3,320.0,361.9,347.3
8,25.0,25.0,24.9,25.0,25.0,25.1,344.5,342.3,320.4,361.9,347.3
9,25.0,25.0,24.9,25.0,25.0,25.1,344.4,342.3,321.0,361.8,347.2
10,25.0,25.0,24.9,25.0,25.0,25.1,344.4,342.3,321.4,361.7,347.2
11,25.0,25.0,24.9,25.0,25.0,25.1,344.3,342.3,321.9,361.7,347.2
12,25.0,25.0,24.9,25.0,25.0,25.1,344.2,342.2,322.4,361.6,347.2
13,25.0,25.0,24.9,25.0,25.0,25.2,344.1,342.2,322.9,361.6,347.2
14,25.0,25.0,24.9,25.0,25.0,25.1,344.1,342.1,323.3,361.5,347.2
15,25.0,25.0,25.0,25.0,25.0,25.1,344.0,342.1,323.8,361.4,347.1
16,25.0,25.0,24.9,25.0,25.0,25.1,343.9,342.1,324.2,361.3,347.1
17,25.0,25.0,24.9,25.0,25.0,25.1,343.9,342.1,324.7,361.3,347.1
18,25.0,25.0,24.9,25.0,25.0,25.1,343.8,342.0,325.1,361.2,347.0
19,25.0,25.0,24.9,25.0,25.0,25.1,343.7,342.0,325.5,361.1,347.0
20,25.0,25.0,24.9,25.0,25.0,25.1,343.6,341.9,326.0,361.0,347.0
21,25.0,25.0,24.9,25.0,25.0,25.1,343.5,341.9,326.4,360.9,347.0
22,25.0,25.0,24.9,25.0,25.0,25.1,343.4,341.8,326.8,360.8,346.9
23,25.0,25.0,24.9,25.0,25.0,25.1,343.4,341.8,327.2,360.7,346.9
24,25.0,25.0,24.9,25.0,25.0,25.1,343.3,341.7,327.6,360.7,346.8
25,25.0,25.0,24.9,25.0,25.0,25.1,343.2,341.7,328.0,360.6,346.8
26,25.0,25.0,24.9,25.0,25.0,25.1,343.2,341.7,328.4,360.5,346.8
27,25.0,25.0,24.9,25.0,25.0,25.1,343.1,341.6,328.8,360.4,346.7
28,25.0,25.0,24.9,25.0,25.0,25.1,343.0,341.6,329.2,360.3,346.7
29,25.0,25.0,24.9,25.0,25.0,25.1,342.9,341.6,329.4,360.2,346.7
30,25.0,25.0,25.0,25.0,25.0,25.1,342.8,341.5,329.8,360.1,346.6
31,25.0,25.0,24.9,25.0,25.0,25.1,342.7,341.5,330.2,360.0,346.6
32,25.0,25.0,24.9,25.0,25.0,25.1,342.7,341.4,330.5,360.0,346.5
33,25.0,25.0,24.9,25.0,25.0,25.1,342.6,341.4,330.9,359.9,346.5
34,25.0,25.0,24.9,25.0,25.0,25.1,342.5,341.3,331.2,359.9,346.5
35,25.0,25.0,24.9,25.0,25.0,25.1,342.4,341.3,331.5,359.8,346.4
36,25.0,25.0,24.9,25.0,25.0,25.1,342.4,341.2,331.8,359.7,346.4
