sample,T_m_script,w_Bi,w_In,w_Sn,T_m_excel,x_Bi,x_In,x_Sn
sample_1,192.6,4.189,0.783,0,192.6,0.7461554256362957,0.2538445743637044,0
sample_2,110.1,3.223,1.767,0,125,0.5005391349483721,0.4994608650516279,0
sample_3,79.4,1.893,3.122,0,72.9,0.24989285342521028,0.7501071465747898,0
sample_4,202.1,4.207,0,0.799,140,0.749432729,0,0.250567271
sample_5,134.6,3.19,0,1.816,137,0.49945740698227353,0,0.5005425930177264
sample_6,168.5,1.834,0,3.167,166,0.24752793973489742,0,0.7524720602651026
sample_7,131.9,0,3.719,1.274,135,0,0.7511230926565201,0.24887690734347986
sample_8,118.2,0,2.463,2.542,130,0,0.5004367013132293,0.4995632986867707
sample_9,184,0,1.206,3.781,210.9,0,0.24798993131250532,0.7520100686874946
sample_10,98.3,2.359,1.289,1.335,99.2,0.33436178460640614,0.33252843877699373,0.33310977661660013
sample_11,150.6,1.531,0.856,2.615,150.5,0.19902536345759161,0.20253224744580522,0.5984423890966032
