Time,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10
0,323.3,305.2,308,315.3,298.5,305.2,306.3,326.3,316.1,305
1,323.5,305.5,308.3,315.6,298.7,305.7,306.9,327,316.8,305.7
2,323.7,305.7,308.5,315.8,298.9,306.1,307.3,327.5,317.3,306.2
3,323.9,305.9,308.7,315.9,299.1,306.5,307.7,328,317.9,306.7
4,324.1,306.2,308.9,316.2,299.4,307,308.2,328.5,318.5,307.3
5,324.3,306.4,309.1,316.4,299.7,307.4,308.5,328.9,319,307.8
6,324.5,306.7,309.3,316.7,299.9,307.8,308.9,329.5,319.5,308.3
7,324.7,307.0,309.6,316.9,300.2,308.2,309.3,329.8,320,308.7
8,324.9,307.2,309.7,317.2,300.5,308.5,309.7,330.4,320.4,309.2
9,325,307.3,309.9,317.3,300.7,308.9,310,330.8,321,309.7
10,325.1,307.5,310.1,317.6,300.9,309.3,310.5,331.2,321.4,310.2
11,325.3,307.7,310.3,317.7,301.2,309.7,310.8,331.6,321.9,310.7
12,325.5,308.0,310.5,318,301.4,310,311.2,332.1,322.4,311.1
13,325.6,308.2,310.7,318.2,301.5,310.5,311.5,332.5,322.9,311.6
14,325.8,308.4,310.9,318.4,301.8,310.9,312,333,323.3,312.1
15,326.1,308.7,311.1,318.6,302.1,311.2,312.3,333.4,323.8,312.5
16,326.2,308.9,311.4,318.8,302.4,311.6,312.6,333.7,324.2,312.9
17,326.4,309.1,311.5,319.1,302.6,312,313,334.1,324.7,313.3
18,326.6,309.4,311.8,319.3,302.9,312.3,313.3,334.5,325.1,313.8
19,326.8,309.7,312,319.5,303.1,312.6,313.6,334.9,325.5,314.1
20,326.9,309.9,312.1,319.7,303.3,313,313.9,335.2,326,314.5
21,327.2,310.0,312.4,319.9,303.6,313.3,314.4,335.6,326.4,314.9
22,327.2,310.3,312.6,320.1,303.8,313.5,314.7,335.9,326.8,315.3
23,327.5,310.5,312.8,320.4,304,313.9,315,336.2,327.2,315.7
24,327.6,310.8,313,320.6,304.3,314.1,315.2,336.5,327.6,316.1
25,327.8,310.9,313.2,320.8,304.6,314.5,315.6,336.9,328,316.5
26,328,311.1,313.5,321,304.9,314.8,315.9,337.2,328.4,316.9
27,328.2,311.4,313.6,321.2,305.1,315.1,316.2,337.4,328.8,317.2
28,328.4,311.6,313.9,321.5,305.3,315.4,316.5,337.7,329.2,317.6
29,328.6,311.8,314.2,321.7,305.6,315.6,316.7,338,329.4,317.9
30,328.8,312.1,314.4,321.9,305.9,315.9,317,338.3,329.8,318.2
31,329.1,312.3,314.6,322.1,306.1,316.3,317.3,338.7,330.2,318.6
32,329.2,312.5,314.8,322.4,306.4,316.5,317.6,338.8,330.5,318.9
33,329.4,312.7,315.1,322.6,306.7,316.8,317.9,339.1,330.9,319.2
34,329.7,312.9,315.3,322.7,306.9,317.1,318.1,339.4,331.2,319.5
35,329.8,313.2,315.5,323,307.1,317.3,318.3,339.7,331.5,319.9
36,330,313.5,315.8,323.3,307.4,317.6,318.6,339.9,331.8,320.1
37,330.3,313.7,315.9,323.5,307.7,317.9,318.9,340.1,332.1,320.5
38,330.5,313.9,316.2,323.8,308,318.1,319.1,340.4,332.4,320.7
39,330.7,314.2,316.5,324.1,308.2,318.3,319.4,340.6,332.8,321
40,330.9,314.5,316.8,324.4,308.6,318.6,319.6,340.8,333,321.3
41,331.3,314.7,317,324.6,308.8,318.8,319.8,341,333.3,321.6
42,331.5,315.0,317.3,324.8,309.1,318.9,320.1,341.2,333.6,321.9
43,331.6,315.3,317.6,325.1,309.4,319.2,320.3,341.4,333.9,322.2
44,331.9,315.6,317.8,325.4,309.7,319.4,320.5,341.6,334.1,322.5
45,332.1,315.8,318,325.7,310.1,319.7,320.8,341.8,334.4,322.8
46,332.4,316.1,318.3,326,310.3,319.9,321,342,334.7,323
47,332.7,316.4,318.6,326.2,310.5,320,321.2,342.2,335,323.3
48,333,316.6,318.8,326.5,310.9,320.3,321.3,342.4,335.2,323.6
49,333.1,316.9,319.1,326.8,311.2,320.5,321.6,342.6,335.5,323.9
50,333.4,317.1,319.4,327.1,311.5,320.6,321.8,342.7,335.7,324.1
51,333.7,317.4,319.6,327.4,311.8,320.8,322,342.9,335.9,324.3
52,333.9,317.7,319.9,327.5,312.2,321,322.2,343.1,336.2,324.5
53,334.1,317.9,320.2,327.8,312.5,321.2,322.4,343.2,336.3,324.8
54,334.4,318.2,320.5,328.1,312.8,321.3,322.5,343.4,336.6,325
55,334.6,318.4,320.7,328.3,313,321.6,322.7,343.5,336.9,325.3
56,334.9,318.6,321,328.6,313.4,321.7,322.9,343.7,337,325.4
57,335.2,318.9,321.3,328.8,313.6,321.8,323,343.7,337.3,325.6
58,335.4,319.2,321.6,329.2,313.9,322,323.2,343.9,337.4,325.8
59,335.6,319.5,321.8,329.4,314.2,322.1,323.4,344.1,337.7,326
60,335.9,319.7,322.1,329.6,314.4,322.4,323.5,344.1,337.9,326.3
61,336.1,320.0,322.4,329.9,314.8,322.4,323.7,344.3,338.1,326.5
62,336.3,320.3,322.6,330.3,315.1,322.6,323.8,344.4,338.3,326.6
63,336.6,320.5,322.9,330.6,315.4,322.7,324,344.6,338.5,326.8
64,336.8,320.7,323.2,330.8,315.7,322.9,324.2,344.6,338.7,327.1
65,337.1,321.0,323.5,331,315.9,323,324.2,344.7,338.8,327.2
66,337.3,321.3,323.7,331.3,316.2,323.1,324.5,344.9,339,327.4
67,337.5,321.5,323.9,331.6,316.5,323.3,324.7,345,339.3,327.6
68,337.8,321.8,324.2,331.9,316.8,323.4,324.7,345,339.4,327.8
69,338.1,319.4,324.5,332.1,317.1,323.4,324.9,345.2,339.6,327.8
70,338.3,322.3,324.7,332.3,317.4,323.6,325,345.2,339.7,328.1
71,338.5,322.5,325,332.5,317.7,323.7,325.1,345.3,339.9,328.2
72,338.8,322.8,325.2,332.7,318.2,323.8,325.3,345.4,340,328.4
73,338.7,323.1,325.5,333,318.5,323.9,325.4,345.5,340.2,328.5
74,338.1,323.2,325.7,333,318.8,324.1,325.5,345.5,340.4,328.8
75,337.5,323.5,325.9,333.3,319.1,324.1,325.6,345.6,340.5,328.8
76,336.6,324.2,326.1,333.4,319.4,324.2,325.7,345.7,340.6,328.9
77,335.6,323.8,326.3,333.7,319.7,324.3,325.9,345.8,340.8,329.2
78,334.4,323.9,326.5,333.8,319.9,324.4,326,345.8,340.9,329.2
79,333.1,323.9,326.8,334,320.1,324.5,326.1,345.9,341,329.4
80,331.7,323.2,327.1,334.3,320.4,324.6,326.2,346,341.2,329.5
81,330.2,322.5,327.4,334.6,320.7,324.6,326.3,346,341.2,329.6
82,328.6,321.6,327.5,334.7,320.9,324.7,326.4,346,341.4,329.7
83,326.9,320.6,327.5,334.8,321.2,324.8,326.5,346.1,341.5,329.8
84,325.2,319.4,327.5,334.9,321.3,324.8,326.5,346.2,341.6,330
85,323.5,318.2,327.2,335,321.5,325,326.6,346.2,341.7,330.1
86,321.8,316.8,326.5,335.2,321.8,325,326.8,346.3,341.8,330.2
87,320,315.4,325.4,335.3,321.9,325.1,326.8,346.3,341.9,330.3
88,318.2,314.1,324.2,335.5,322.1,325.1,326.9,346.3,342,330.4
89,316.4,312.6,322.8,335.6,322.3,325.1,327.1,346.4,342.1,330.6
90,314.6,311.2,321.4,335.7,322.4,325.3,327.1,346.5,342.2,330.6
91,312.8,309.8,319.8,335.5,322.4,325.4,327.2,346.5,342.3,330.7
92,310.9,308.3,318.2,334.9,322.1,325.4,327.2,346.6,342.4,330.9
93,309.1,306.8,316.5,334.2,321.8,325.4,327.4,346.6,342.5,330.9
94,307.3,305.4,314.8,333.3,321,325.6,327.5,346.6,342.7,331.1
95,305,303.8,313.1,332.3,320,325.6,327.5,346.7,342.7,331.2
96,303.3,302.2,311.3,331,318.8,325.7,327.7,346.8,342.7,331.3
97,301.4,300.6,309.5,329.8,317.6,325.7,327.7,346.8,342.9,331.3
98,299.4,299.0,307.7,328.3,316.2,325.7,327.8,346.8,343,331.5
99,297.5,297.3,305.9,326.9,314.8,325.8,327.9,346.9,343.1,331.6
100,295.6,295.8,304.1,325.2,313.3,325.9,328,346.9,343.2,331.7
101,293.7,294.2,302.3,323.8,311.8,325.9,328.1,347.1,343.3,331.8
102,291.8,292.7,300.5,322.1,310.3,326,328.1,347.1,343.4,331.9
103,289.9,291.3,298.6,320.3,308.6,326.1,328.3,347.1,343.5,332.1
