Time,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,,,,
0,45.7,48.3,58,76.3,79.4,28.8,28.5,28.4,28.8,29.4,,,,
1,47.4,49.7,59.3,78.3,81.3,28.8,28.6,28.4,28.9,29.5,,,,
2,49.1,51.3,60.6,80.3,83.1,28.8,28.6,28.4,28.9,29.5,,,,
3,51,52.9,61.8,82.3,85.2,28.8,28.5,28.4,28.8,29.5,,,,
4,53,54.8,63,84.3,87.2,28.7,28.5,28.4,28.8,29.4,,,,
5,55.2,56.7,64.1,86.5,89.3,28.7,28.4,28.4,28.8,29.4,,,,
6,57.4,58.7,65.2,88.6,91.5,28.7,28.5,28.4,28.8,29.4,,,,
7,59.6,60.7,66.2,90.8,93.6,28.7,28.5,28.4,28.8,29.3,,,,
8,62,63,67.2,93.2,95.8,28.7,28.4,28.3,28.8,29.4,,,,
9,64.5,65.2,68.2,95.5,98,28.7,28.4,28.3,28.7,29.3,,,,
10,67.1,67.6,69.1,97.8,100.2,28.7,28.4,28.3,28.8,29.3,,,,
11,69.7,70.1,70.2,100.1,102.5,28.7,28.4,28.3,28.7,29.3,,,,
12,72.4,72.4,71.3,102.4,104.8,28.7,28.4,28.3,28.7,29.3,,,,
13,74.8,74.8,72.4,104.6,107.2,28.6,28.4,28.2,28.7,29.2,,,,
14,77.3,77.1,73.6,106.8,109.5,28.6,28.4,28.2,28.7,29.2,,,,
15,79.7,79.3,74.9,109,111.8,28.5,28.3,28.2,28.6,29.2,,,,
16,82.1,81.2,76.4,111.2,114,28.6,28.4,28.2,28.6,29.2,,,,
17,84.5,83.1,77.9,113.2,116.1,28.5,28.4,28.2,28.6,29.2,,,,
18,86.7,84.9,79.6,115.3,118,28.5,28.3,28.1,28.6,29.2,,,,
19,88.8,86.5,81.4,117.4,119.9,28.5,28.4,28.2,28.5,29.2,,,,
20,90.9,88.2,83.4,119.3,121.5,28.4,28.3,28.2,28.5,29.2,,,,
21,92.8,89.7,85.5,121.3,123,28.4,28.3,28.1,28.5,29.2,,,,
22,94.7,91.3,88,123.4,124.4,28.4,28.4,28.1,28.5,29.2,,,,
23,96.5,92.7,90.6,125.4,125.7,28.4,28.2,28.1,28.5,29.2,,,,
24,98.3,94.2,93.3,127.3,126.9,28.4,28.2,28.1,28.4,29.2,,,,
25,100.1,95.7,96.2,129.3,128.1,28.4,28.2,28.1,28.4,29.2,,,,
26,101.9,97.2,99.2,131.2,129,28.4,28.2,28.1,28.4,29.1,,,,
27,103.6,98.5,102.3,133.1,130,28.4,28.2,28.1,28.4,29.1,,,,
28,105.4,99.9,105.4,134.9,130.8,28.4,28.2,28.1,28.4,29,,,,
