ベンダ,"GRAPHTEC Corporation"
モデル,"GL260"
バージョン,"Ver1.03  "
最大CH数,10
WL開始CH,10
演算開始CH,10
最大ロジックCH数,4
最大演算CH数,10
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,978       
トリガ点,0         
開始時刻,2025-06-24,15:05:35
終了時刻,2025-06-24,15:21:53
トリガ時刻,2025-06-24,15:05:36
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+300.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+300.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+300.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+300.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+300.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+300.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+300.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+300.0,+0.0,[degC],28,0,17,0
CH9," CH 9","M",TEMP,TC_K,2000degC,Off,+300.0,+0.0,[degC],17,11,7,0
CH10," CH10","M",TEMP,TC_K,2000degC,Off,+300.0,+0.0,[degC],19,27,0,0
演算設定
CH,左項,演算子,右項,スケーリング,スパン,,単位
演算拡張設定
CH,信号名,係数A,左項,演算子,係数B,右項,オフセットC,スケーリング,スパン,,単位,線色,,,線幅
測定値
番号,日付/時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
NO.,Time,ms,"degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","A1234567890","AO1234"
         1,2025/06/24 15:05:36,  0, +343.8, +316.7, +313.3, +313.6, +303.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         2,2025/06/24 15:05:37,  0, +344.3, +317.1, +313.9, +314.2, +303.7,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         3,2025/06/24 15:05:38,  0, +344.7, +317.4, +314.3, +314.7, +304.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         4,2025/06/24 15:05:39,  0, +345.0, +317.8, +314.7, +315.2, +304.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         5,2025/06/24 15:05:40,  0, +345.5, +318.2, +315.0, +315.7, +305.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         6,2025/06/24 15:05:41,  0, +345.8, +318.5, +315.3, +316.1, +305.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         7,2025/06/24 15:05:42,  0, +346.2, +318.9, +315.8, +316.6, +305.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         8,2025/06/24 15:05:43,  0, +346.5, +319.2, +316.1, +317.1, +306.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         9,2025/06/24 15:05:44,  0, +346.9, +319.5, +316.4, +317.5, +306.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        10,2025/06/24 15:05:45,  0, +347.2, +319.8, +316.8, +318.0, +307.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        11,2025/06/24 15:05:46,  0, +347.5, +320.2, +317.0, +318.4, +307.7,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        12,2025/06/24 15:05:47,  0, +347.8, +320.5, +317.4, +318.8, +308.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        13,2025/06/24 15:05:48,  0, +348.1, +320.9, +317.7, +319.2, +308.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        14,2025/06/24 15:05:49,  0, +348.4, +321.1, +318.0, +319.5, +308.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        15,2025/06/24 15:05:50,  0, +348.7, +321.4, +318.3, +320.0, +309.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        16,2025/06/24 15:05:51,  0, +349.0, +321.7, +318.6, +320.4, +309.7,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        17,2025/06/24 15:05:52,  0, +349.3, +322.0, +318.9, +320.9, +310.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        18,2025/06/24 15:05:53,  0, +349.5, +322.3, +319.2, +321.2, +310.5,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        19,2025/06/24 15:05:54,  0, +349.7, +322.6, +319.5, +321.5, +310.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        20,2025/06/24 15:05:55,  0, +350.0, +322.9, +319.8, +321.9, +311.2,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        21,2025/06/24 15:05:56,  0, +350.3, +323.2, +320.1, +322.3, +311.7,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        22,2025/06/24 15:05:57,  0, +350.5, +323.4, +320.4, +322.6, +312.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        23,2025/06/24 15:05:58,  0, +350.8, +323.7, +320.6, +322.9, +312.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        24,2025/06/24 15:05:59,  0, +351.0, +323.9, +320.9, +323.3, +312.7,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        25,2025/06/24 15:06:00,  0, +351.2, +324.2, +321.2, +323.7, +313.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        26,2025/06/24 15:06:01,  0, +351.4, +324.4, +321.5, +324.1, +313.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        27,2025/06/24 15:06:02,  0, +351.6, +324.7, +321.7, +324.6, +313.8,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        28,2025/06/24 15:06:03,  0, +351.8, +325.0, +321.6, +325.0, +314.1,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        29,2025/06/24 15:06:04,  0, +352.0, +325.1, +321.3, +325.4, +314.4,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        30,2025/06/24 15:06:05,  0, +352.2, +325.3, +320.7, +325.9, +314.7,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        31,2025/06/24 15:06:06,  0, +352.4, +325.6, +319.9, +326.2, +315.0,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        32,2025/06/24 15:06:07,  0, +352.5, +325.7, +318.9, +326.6, +315.3,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        33,2025/06/24 15:06:08,  0, +352.7, +325.9, +317.7, +327.0, +315.6,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        34,2025/06/24 15:06:09,  0, +352.8, +325.9, +316.4, +327.3, +315.9,BURNOUT,BURNOUT,BURNOUT,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
