Time,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11
0,25.0,25.0,24.9,25.0,2.98E+02,2.80E+02,2.79E+02,2.70E+02,264.3,215.7,216.2
1,25.0,24.9,24.9,25.0,2.99E+02,2.81E+02,2.80E+02,2.72E+02,266.8,222.9,222.2
2,25.0,25.0,24.9,25.0,3.00E+02,2.82E+02,2.81E+02,2.74E+02,269,229.2,227.7
3,25.0,25.0,24.9,25.0,3.01E+02,2.83E+02,2.82E+02,2.75E+02,271.1,234.8,232.7
4,25.0,25.0,24.9,25.0,3.02E+02,2.84E+02,2.83E+02,2.77E+02,273.1,239.9,237.4
5,25.0,25.0,24.9,25.0,3.03E+02,2.85E+02,2.84E+02,2.78E+02,274.9,244.4,241.8
6,25.0,25.0,25.0,25.0,3.04E+02,2.86E+02,2.85E+02,2.80E+02,276.6,248.5,245.9
7,25.0,25.0,24.9,25.0,3.05E+02,2.87E+02,2.86E+02,2.81E+02,278.3,252.1,249.7
8,25.0,25.0,24.9,25.0,3.06E+02,2.88E+02,2.87E+02,2.83E+02,279.9,255.5,253.3
9,25.0,25.0,24.9,25.0,3.07E+02,2.89E+02,2.88E+02,2.84E+02,281.4,258.4,256.6
10,25.0,25.0,24.9,25.0,3.08E+02,2.90E+02,2.90E+02,2.85E+02,282.8,261.1,259.6
11,25.0,25.0,24.9,25.0,3.09E+02,2.91E+02,2.91E+02,2.87E+02,284.2,263.5,262.5
12,25.0,25.0,24.9,25.0,3.09E+02,2.91E+02,2.92E+02,2.88E+02,285.6,265.9,265.2
13,25.0,25.0,24.9,25.0,3.10E+02,2.92E+02,2.93E+02,2.89E+02,286.7,267.9,267.7
14,25.0,25.0,24.9,25.0,3.11E+02,2.93E+02,2.94E+02,2.90E+02,288,269.8,270.1
15,25.0,25.0,25.0,25.0,3.12E+02,2.94E+02,2.95E+02,2.92E+02,289.1,271.7,272.3
16,25.0,25.0,24.9,25.0,3.13E+02,2.95E+02,2.96E+02,2.93E+02,290.2,273.3,274.5
17,25.0,25.0,24.9,25.0,3.14E+02,2.96E+02,2.97E+02,2.94E+02,291.2,274.9,276.4
18,25.0,25.0,24.9,25.0,3.15E+02,2.97E+02,2.98E+02,2.95E+02,292.3,276.4,278.3
19,25.0,25.0,24.9,25.0,3.15E+02,2.98E+02,2.99E+02,2.96E+02,293.2,277.7,280.2
20,25.0,25.0,24.9,25.0,3.16E+02,2.98E+02,3.00E+02,2.97E+02,294.2,279.1,281.9
21,25.0,25.0,24.9,25.0,3.17E+02,2.99E+02,3.01E+02,2.98E+02,295.1,280.4,283.5
22,25.0,25.0,24.9,25.0,3.18E+02,3.00E+02,3.01E+02,2.99E+02,296,281.4,285.1
23,25.0,25.0,24.9,25.0,3.19E+02,3.01E+02,3.02E+02,3.00E+02,296.9,282.5,286.6
24,25.0,25.0,24.9,25.0,3.19E+02,3.02E+02,3.03E+02,3.01E+02,297.6,283.6,288
25,25.0,25.0,24.9,25.0,3.20E+02,3.03E+02,3.04E+02,3.02E+02,298.4,284.6,289.4
26,25.0,25.0,24.9,25.0,3.21E+02,3.03E+02,3.05E+02,3.03E+02,299.2,285.6,290.6
27,25.0,25.0,24.9,25.0,3.22E+02,3.04E+02,3.06E+02,3.04E+02,299.9,286.5,291.8
28,25.0,25.0,24.9,25.0,3.22E+02,3.05E+02,3.07E+02,3.05E+02,300.6,287.3,293
29,25.0,25.0,24.9,25.0,3.23E+02,3.06E+02,3.07E+02,3.06E+02,301.4,288.3,294.1
30,25.0,25.0,25.0,25.0,3.24E+02,3.06E+02,3.08E+02,3.07E+02,302,289,295.2
31,25.0,25.0,24.9,25.0,3.24E+02,3.07E+02,3.09E+02,3.08E+02,302.8,289.8,296.3
32,25.0,25.0,24.9,25.0,3.25E+02,3.08E+02,3.10E+02,3.09E+02,303.4,290.6,297.3
33,25.0,25.0,24.9,25.0,3.26E+02,3.08E+02,3.10E+02,3.10E+02,304.1,291.4,298.2
34,25.0,25.0,24.9,25.0,3.26E+02,3.09E+02,3.11E+02,3.10E+02,304.8,292.2,299.1
35,25.0,25.0,24.9,25.0,3.27E+02,3.10E+02,3.12E+02,3.11E+02,305.5,292.9,300
36,25.0,25.0,24.9,25.0,3.27E+02,3.10E+02,3.12E+02,3.12E+02,305.9,293.6,300.9
37,25.0,25.0,24.9,25.0,3.28E+02,3.11E+02,3.13E+02,3.13E+02,306.4,294.3,301.7
38,25.0,25.0,24.9,25.0,3.29E+02,3.11E+02,3.14E+02,3.14E+02,306.8,294.9,302.6
39,25.0,25.0,24.9,25.0,3.29E+02,3.12E+02,3.14E+02,3.14E+02,307.3,295.5,303.4
40,25.0,25.0,24.9,25.0,3.30E+02,3.12E+02,3.15E+02,3.15E+02,307.8,296.3,304.1
41,25.0,25.0,24.9,25.0,3.30E+02,3.13E+02,3.16E+02,3.16E+02,308.2,296.8,304.9
42,25.0,25.0,24.9,25.0,3.31E+02,3.14E+02,3.16E+02,3.16E+02,308.7,297.3,305.6
43,25.0,25.0,24.9,25.0,3.31E+02,3.14E+02,3.17E+02,3.17E+02,309.2,297.9,306.3
44,25.0,25.0,24.9,25.0,3.32E+02,3.15E+02,3.18E+02,3.18E+02,309.6,298.5,307
45,25.0,25.0,24.9,25.0,3.32E+02,3.15E+02,3.18E+02,3.18E+02,310,299,307.7
46,25.0,25.0,25.0,25.0,3.33E+02,3.16E+02,3.19E+02,3.19E+02,310.5,299.6,308.4
47,25.0,25.0,25.0,25.0,3.33E+02,3.16E+02,3.19E+02,3.19E+02,310.9,300.2,309.1
48,25.0,25.0,24.9,25.0,3.34E+02,3.17E+02,3.20E+02,3.20E+02,311.4,300.6,309.7
49,25.0,25.0,25.0,25.0,3.34E+02,3.17E+02,3.20E+02,3.21E+02,311.9,301.2,310.4
50,25.0,25.0,24.9,25.0,3.34E+02,3.18E+02,3.21E+02,3.21E+02,312.3,301.7,311
51,25.0,25.0,24.9,25.1,3.35E+02,3.18E+02,3.21E+02,3.22E+02,312.7,302.1,311.6
52,25.0,25.0,24.9,25.0,3.35E+02,3.19E+02,3.22E+02,3.22E+02,313.2,302.7,312.3
53,25.0,25.0,25.0,25.1,3.36E+02,3.19E+02,3.22E+02,3.23E+02,313.6,303.1,312.9
54,25.0,25.0,25.0,25.0,3.36E+02,3.19E+02,3.23E+02,3.23E+02,314.1,303.6,313.5
55,25.0,25.0,25.0,25.0,3.36E+02,3.20E+02,3.23E+02,3.24E+02,314.5,304.1,314
56,25.0,25.0,24.9,25.0,3.37E+02,3.20E+02,3.24E+02,3.24E+02,315,304.6,314.5
57,25.0,25.0,24.9,25.1,3.37E+02,3.21E+02,3.24E+02,3.25E+02,315.3,305,315.1
58,25.0,25.0,24.9,25.0,3.37E+02,3.21E+02,3.25E+02,3.25E+02,315.7,305.5,315.7
59,25.1,25.1,25.1,25.2,3.38E+02,3.22E+02,3.25E+02,3.25E+02,316.1,305.9,316.2
60,25.1,25.1,25.1,25.2,3.38E+02,3.22E+02,3.25E+02,3.26E+02,316.6,306.4,316.7
