sample,w_Bi,w_In,w_Sn,x_Bi,x_In,x_Sn,T_m_excel,T_m_script
sample_1,4.225,0.784,0.0,0.7475320084686327,0.25246799153136734,0.0,74.5,77.5
sample_2,3.233,1.781,0.0,0.49934065677450956,0.5006593432254905,0.0,107.0,110.3
sample_3,1.874,3.101,0.0,0.24926758503160135,0.7507324149683986,0.0,108.7,186.4
sample_4,4.204,0.0,0.776,0.7547455079306401,0.0,0.24525449206935998,173.6,229.7
sample_5,3.203,0.0,1.808,0.5015778945410108,0.0,0.4984221054589892,138.0,135.1
sample_6,1.845,0.0,3.158,0.24917546645238167,0.0,0.7508245335476184,167.5,168.5
sample_7,0.0,3.725,1.278,0.0,0.7508383229781107,0.2491616770218892,132.2,132.9
sample_8,0.0,2.457,2.537,0.0,0.5003191680186114,0.4996808319813885,121.1,119.6
sample_9,0.0,1.215,3.787,0.0,0.2490823901156778,0.7509176098843222,196.4,184.1
sample_10,2.358,1.277,1.326,0.33606271473397736,0.33124902614011886,0.3326882591259037,99.1,97.2
