sample,w_Bi,w_In,w_Sn,x_Bi,x_In,x_Sn,T_m_excel,T_m_script
sample_1,4.225,0.778,0.0,0.7489791507790617,0.2510208492209383,0.0,186.6,184.6
sample_2,3.227,1.778,0.0,0.4992977272397124,0.5007022727602876,0.0,109.3,109.5
sample_3,1.885,3.1161,0.0,0.2494538397947445,0.7505461602052554,0.0,72.0,85.6
sample_4,4.205,0.0,0.8047,0.7480058688250283,0.0,0.2519941311749717,195.1,193.4
sample_5,3.195,0.0,1.804,0.5015064096041779,0.0,0.49849359039582214,137.0,133.0
sample_6,1.847,0.0,3.151,0.24979382875610787,0.0,0.7502061712438921,193.8,192.0
sample_7,0.0,3.709,1.289,0.0,0.7484219104669626,0.25157808953303745,132.9,133.0
sample_8,0.0,2.451,2.534,0.0,0.5000037204932449,0.499996279506755,0.0,118.0
sample_9,0.0,1.219,3.782,0.0,0.24994525929424816,0.750054740705752,183.9,184.1
sample_10,2.3607,1.2837,1.352,0.33356350965553516,0.3301326349242259,0.33630385542023905,108.1,100.1
sample_11,1.539,0.846,2.617,0.20023921804268527,0.20034018300379006,0.5994205989535246,152.3,151.6
