Time,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11
0,340.3,330.4,342,348.1,2.90E+02,2.60E+02,2.55E+02,2.63E+02,286.3,331.2,292.8
1,340.5,330.5,342.1,348.2,2.90E+02,2.61E+02,2.57E+02,2.65E+02,286.6,331.3,293.4
2,340.6,330.6,342.3,348.4,2.91E+02,2.62E+02,2.58E+02,2.67E+02,286.8,331.5,293.8
3,340.6,330.8,342.4,348.4,2.92E+02,2.63E+02,2.60E+02,2.69E+02,287.2,331.5,294.4
4,340.7,330.8,342.5,348.5,2.93E+02,2.64E+02,2.61E+02,2.70E+02,287.5,331.6,294.9
5,340.8,330.9,342.7,348.6,2.94E+02,2.64E+02,2.63E+02,2.72E+02,287.9,331.8,295.5
6,340.9,331,342.8,348.7,2.95E+02,2.65E+02,2.64E+02,2.73E+02,288.3,331.8,296
7,341,331.2,343,348.7,2.95E+02,2.66E+02,2.65E+02,2.74E+02,288.7,331.9,296.6
8,341,331.3,343.1,348.8,2.96E+02,2.67E+02,2.66E+02,2.76E+02,289.1,332,297
9,341,331.3,343.3,349,2.97E+02,2.68E+02,2.67E+02,2.77E+02,289.6,332.1,297.6
10,341.2,331.5,343.3,349.1,2.98E+02,2.68E+02,2.68E+02,2.78E+02,290.1,332.1,298.1
11,341.3,331.6,343.5,349.1,2.98E+02,2.69E+02,2.69E+02,2.79E+02,290.6,332.1,298.5
12,341.3,331.6,343.6,349.1,2.99E+02,2.70E+02,2.70E+02,2.80E+02,291.1,332.1,299
13,341.4,331.8,343.7,349.3,3.00E+02,2.71E+02,2.71E+02,2.81E+02,291.5,332.2,299.5
14,341.5,331.8,343.8,349.4,3.01E+02,2.71E+02,2.72E+02,2.82E+02,292.1,332.2,299.9
15,341.5,298.6,344,349.4,3.01E+02,2.72E+02,2.73E+02,2.83E+02,292.6,332.3,300.1
16,341.6,331.9,344.1,349.6,3.02E+02,2.73E+02,2.74E+02,2.84E+02,293.1,332.4,300
17,341.6,332.1,344.3,349.6,3.03E+02,2.74E+02,2.74E+02,2.85E+02,293.7,332.5,299.6
18,341.7,331.9,344.4,349.7,3.04E+02,2.74E+02,2.75E+02,2.86E+02,294.3,318.4,299
19,341.8,331.3,344.5,349.9,3.04E+02,2.75E+02,2.76E+02,2.86E+02,294.6,332.7,298.2
20,341.9,330.5,344.6,347.1,3.05E+02,2.76E+02,2.77E+02,2.87E+02,294.9,332.7,297
21,342,329.5,344.8,304.3,3.06E+02,2.77E+02,2.78E+02,2.88E+02,295,332.8,295.8
22,342.1,328.2,344.8,330.1,3.07E+02,2.77E+02,2.78E+02,2.89E+02,294.6,333,294.4
23,342.2,326.8,344.5,336.9,3.08E+02,2.78E+02,2.79E+02,2.90E+02,294,333.1,293.1
24,342.3,325.4,343.9,347.8,3.08E+02,2.79E+02,2.80E+02,2.91E+02,293.1,333.3,291.5
25,342.4,323.9,343,347.7,3.09E+02,2.80E+02,2.81E+02,2.92E+02,292.1,333.4,290
26,342.5,322.3,341.7,349.1,3.10E+02,2.81E+02,2.82E+02,2.93E+02,291.1,333.1,288.4
27,342.6,320.8,340.3,349.2,3.11E+02,2.81E+02,2.82E+02,2.94E+02,290,332.5,286.9
