sample,w_Bi,w_In,w_Sn,x_Bi,x_In,x_Sn,T_m_excel,T_m_script
sample_1,4.234,0.785,0.0,0.7476929998373724,0.2523070001626276,0.0,109.0,171.4
sample_2,3.234,1.776,0.0,0.5001208119272647,0.4998791880727354,0.0,107.4,107.5
sample_3,1.89,3.119,0.0,0.24977578168750147,0.7502242183124985,0.0,79.4,79.1
sample_4,4.205,0.0,0.795,0.7502849215780834,0.0,0.2497150784219166,154.9,126.9
sample_5,3.187,0.0,1.8107,0.4999528787626938,0.0,0.5000471212373062,126.1,134.0
sample_6,1.848,0.0,3.144,0.250312388322715,0.0,0.7496876116772849,160.0,171.0
sample_7,0.0,3.703,1.273,0.0,0.7504633170600943,0.24953668293990572,131.1,132.0
sample_8,0.0,2.443,2.554,0.0,0.49722100211396725,0.5027789978860326,128.0,118.0
sample_9,0.0,1.219,3.786,0.0,0.24974713763950016,0.7502528623604997,183.0,183.6
sample_10,2.37,1.296,1.347,0.3337982250245354,0.3322215964266694,0.33398017854879514,98.7,98.5
sample_11,1.535,0.845,2.61,0.2001913478923947,0.20057685396123198,0.5992317981463733,116.9,150.5
