Time,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,
0,3.12E+02,3.06E+02,2.84E+02,2.50E+02,312.4,305.9,306.8,314.8,315.1,306.7,
1,3.13E+02,3.07E+02,2.85E+02,2.52E+02,313.1,306.7,307.5,315.4,315.9,307.4,
2,3.14E+02,3.08E+02,2.86E+02,2.54E+02,313.7,307.3,308.2,316,316.6,308.2,
3,3.15E+02,3.08E+02,2.87E+02,2.56E+02,314.3,308,308.8,316.6,317.4,308.8,
4,3.16E+02,3.09E+02,2.88E+02,2.57E+02,315,308.5,309.6,317.2,318.2,309.5,
5,3.17E+02,3.10E+02,2.89E+02,2.59E+02,315.6,309.2,310.2,317.8,318.9,310.2,
6,3.18E+02,3.10E+02,2.90E+02,2.61E+02,316.2,309.8,310.9,318.4,319.7,310.8,
7,3.18E+02,3.11E+02,2.91E+02,2.62E+02,316.8,310.4,311.5,319,320.3,311.5,
8,3.19E+02,3.12E+02,2.92E+02,2.63E+02,317.3,310.9,312,319.5,321,312.2,
9,3.20E+02,3.13E+02,2.93E+02,2.65E+02,317.9,311.5,312.6,320.1,321.8,312.9,
10,3.21E+02,3.13E+02,2.93E+02,2.66E+02,318.4,312,313.2,320.7,322.5,313.5,
11,3.22E+02,3.14E+02,2.94E+02,2.67E+02,318.9,312.5,313.8,321.2,323.2,314.2,
12,3.22E+02,3.15E+02,2.95E+02,2.69E+02,319.4,312.9,314.2,321.7,323.8,314.8,
13,3.23E+02,3.16E+02,2.96E+02,2.70E+02,319.9,313.4,314.8,322.2,324.5,315.4,
14,3.24E+02,3.16E+02,2.97E+02,2.71E+02,320.4,313.9,315.3,322.7,325.1,316,
15,3.25E+02,3.17E+02,2.98E+02,2.72E+02,320.9,314.4,315.7,323.3,325.8,316.6,
16,3.25E+02,3.18E+02,2.99E+02,2.73E+02,321.4,314.9,315.7,323.8,326.5,317.2,
17,3.26E+02,3.18E+02,3.00E+02,2.75E+02,321.8,315.4,315.3,324.3,327.1,317.7,
18,3.27E+02,3.19E+02,3.00E+02,2.76E+02,322.4,315.9,314.7,324.8,327.7,318.3,
19,3.28E+02,3.20E+02,3.01E+02,2.77E+02,322.9,316.4,313.7,325.3,328.3,318.9,
20,3.28E+02,3.21E+02,3.02E+02,2.78E+02,323.3,316.9,312.6,325.7,328.9,319.4,
21,3.29E+02,3.21E+02,3.03E+02,2.79E+02,323.9,317.4,311.4,326.2,329.6,320,
22,3.30E+02,3.22E+02,3.04E+02,2.80E+02,324.2,317.7,310,326.6,330.1,320.4,
23,3.31E+02,3.23E+02,3.05E+02,2.81E+02,324.8,317.8,308.5,327.1,330.6,320.9,
24,3.32E+02,3.24E+02,3.06E+02,2.82E+02,325.3,317.6,306.9,327.5,331.3,321.4,
25,3.32E+02,3.24E+02,3.06E+02,2.83E+02,325.7,317.1,305.3,327.9,331.8,321.8,
26,3.33E+02,3.25E+02,3.07E+02,2.84E+02,326.3,316.3,303.7,328.3,332.3,322.3,
27,3.34E+02,3.26E+02,3.08E+02,2.85E+02,326.5,315.3,302,328.8,332.8,322.6,
28,3.35E+02,3.27E+02,3.09E+02,2.86E+02,326.3,314.2,300.3,329.2,333.3,322.6,
