sample,w_Bi,w_In,w_Sn,x_Bi,x_In,x_Sn,T_m_excel,T_m_script
sample_1,4.2295,0.7735,0.0,0.7502676982823526,0.24973230171764735,0.0,215.9,131.0
sample_2,3.2204,1.788,0.0,0.497383781332826,0.5026162186671739,0.0,104.5,110.0
sample_3,1.8791,3.1127,0.0,0.24907149816563182,0.7509285018343681,0.0,73.2,80.0
sample_4,4.203,0.0,0.795,0.7501957780151337,0.0,0.24980422198486632,205.0,197.0
sample_5,3.18,0.0,1.823,0.49771068888649983,0.0,0.5022893111135001,119.7,134.3
sample_6,1.8388,0.0,3.1528,0.24885416631182672,0.0,0.7511458336881732,184.6,183.8
sample_7,0.0,3.713,1.276,0.0,0.7505275459914346,0.24947245400856535,95.0,131.7
sample_8,0.0,2.44,2.551,0.0,0.49720764389866473,0.5027923561013353,116.9,140.0
sample_9,0.0,1.203,3.791,0.0,0.24703410320957395,0.7529658967904261,184.3,183.6
sample_10,2.378,1.305,1.347,0.33377882717257357,0.3333839040336305,0.332837268793796,95.0,95.8
