,x_Bi,x_In,x_Sn,Tm
297,1.0,0.0,0.0,271.0
0,0.99,0.01,0.0,269.0
1,0.98,0.02,0.0,267.0
2,0.97,0.03,0.0,264.5
3,0.96,0.04,0.0,262.5
4,0.95,0.05,0.0,260.0
5,0.94,0.060000000000000005,0.0,257.5
6,0.93,0.06999999999999999,0.0,255.0
7,0.92,0.08,0.0,252.5
8,0.91,0.09,0.0,250.0
9,0.9,0.09999999999999999,0.0,247.5
10,0.89,0.11,0.0,245.0
11,0.88,0.12,0.0,242.0
12,0.87,0.13,0.0,239.5
13,0.86,0.14,0.0,236.5
14,0.85,0.15000000000000002,0.0,234.0
15,0.84,0.16,0.0,231.0
16,0.83,0.17,0.0,228.0
17,0.82,0.18000000000000002,0.0,225.0
18,0.81,0.19,0.0,222.0
19,0.8,0.2,0.0,219.0
20,0.79,0.21000000000000002,0.0,216.0
21,0.78,0.22,0.0,212.5
22,0.77,0.23,0.0,209.5
23,0.76,0.24000000000000002,0.0,206.0
24,0.75,0.25,0.0,202.5
25,0.74,0.26,0.0,199.5
26,0.73,0.27,0.0,196.0
27,0.72,0.28,0.0,192.0
28,0.71,0.29000000000000004,0.0,188.5
29,0.7,0.3,0.0,185.0
30,0.69,0.31,0.0,181.0
31,0.6799999999999999,0.32,0.0,177.5
32,0.6699999999999999,0.33,0.0,173.5
33,0.6599999999999999,0.34,0.0,169.5
34,0.6499999999999999,0.35000000000000003,0.0,165.5
35,0.6399999999999999,0.36000000000000004,0.0,161.5
36,0.63,0.37,0.0,157.0
37,0.62,0.38,0.0,153.0
38,0.61,0.39,0.0,148.5
39,0.6,0.4,0.0,144.0
40,0.59,0.41000000000000003,0.0,139.5
41,0.58,0.42000000000000004,0.0,135.0
42,0.5700000000000001,0.43,0.0,130.5
43,0.56,0.44,0.0,126.0
44,0.55,0.45,0.0,121.0
45,0.54,0.46,0.0,116.0
46,0.53,0.47000000000000003,0.0,111.0
47,0.52,0.48000000000000004,0.0,109.5
48,0.51,0.49,0.0,109.5
49,0.5,0.5,0.0,109.5
50,0.49,0.51,0.0,109.5
51,0.48,0.52,0.0,109.5
52,0.47,0.53,0.0,109.0
53,0.45999999999999996,0.54,0.0,108.0
54,0.44999999999999996,0.55,0.0,107.5
55,0.43999999999999995,0.56,0.0,106.5
56,0.42999999999999994,0.5700000000000001,0.0,105.0
57,0.41999999999999993,0.5800000000000001,0.0,104.0
58,0.41000000000000003,0.59,0.0,102.0
